"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes"
"2018 General Election","ADAMS","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","13,291","0","0"
"2018 General Election","ADAMS","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","25,596","0","0"
"2018 General Election","ALLEGHENY","Representative in Congress","17th Congressional District","Democratic","LAMB, CONOR JAMES ","146,310","0","0"
"2018 General Election","ALLEGHENY","Representative in Congress","17th Congressional District","Republican","ROTHFUS, KEITH ","102,697","0","0"
"2018 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Democratic","DOYLE, MICHAEL F JR","231,472","0","0"
"2018 General Election","ARMSTRONG","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","7,521","0","0"
"2018 General Election","ARMSTRONG","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","16,760","0","0"
"2018 General Election","BEAVER","Representative in Congress","17th Congressional District","Democratic","LAMB, CONOR JAMES ","32,821","0","0"
"2018 General Election","BEAVER","Representative in Congress","17th Congressional District","Republican","ROTHFUS, KEITH ","35,108","0","0"
"2018 General Election","BEDFORD","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","3,489","0","0"
"2018 General Election","BEDFORD","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","15,311","0","0"
"2018 General Election","BERKS","Representative in Congress","4th Congressional District","Democratic","DEAN CUNNANE , MADELEINE ","2,919","0","0"
"2018 General Election","BERKS","Representative in Congress","4th Congressional District","Republican","DAVID, DANIEL ","4,258","0","0"
"2018 General Election","BERKS","Representative in Congress","6th Congressional District","Democratic","HOULAHAN, CHRISTINA JAMPOLER ","37,900","0","0"
"2018 General Election","BERKS","Representative in Congress","6th Congressional District","Republican","MCCAULEY, GREGORY MICHAEL SENIOR","27,070","0","0"
"2018 General Election","BERKS","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","31,736","0","0"
"2018 General Election","BERKS","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","39,853","0","0"
"2018 General Election","BLAIR","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","12,497","0","0"
